sp,mid,ask_5,ask_4,ask_3,ask_2,ask_1,bid_1,bid_2,bid_3,bid_4,bid_5
0.7,98.78,0,0,0,0,1,1,1,1,1,1
0.62,98.82,1,1,1,1,1,1,1,1,1,1
0.62,98.88,1,1,1,1,1,1,1,1,1,1
0.64,98.87,1,1,1,1,1,1,1,1,1,0
0.62,98.86,1,1,1,1,1,1,1,1,1,1
0.7,98.9,0,0,0,0,1,1,1,1,1,1
0.66,98.92,1,1,1,1,1,1,1,1,0,0
0.62,98.9,1,1,1,1,1,1,1,1,1,1
0.62,99.0,1,1,1,1,1,1,1,1,1,1
0.63,99.095,1,1,1,1,1,1,1,1,1,1
0.63,99.135,1,1,1,1,1,1,1,1,1,1
0.63,99.195,1,1,1,1,1,1,1,1,1,1
-98.88,49.44,0,0,0,0,0,1,0,0,0,0
0.71,99.175,1,1,1,1,1,1,0,0,0,0
0.71,99.175,1,1,1,1,1,1,0,0,0,0
0.63,99.135,1,1,1,1,1,1,1,1,1,1
0.71,99.175,0,0,0,0,1,1,1,1,1,1
0.69,99.245,0,0,0,1,1,1,1,1,1,1
0.71,99.315,0,0,0,0,1,1,1,1,1,1
0.65,99.345,1,1,1,1,1,1,1,1,1,0
0.63,99.335,1,1,1,1,1,1,1,1,1,1
0.63,99.275,1,1,1,1,1,1,1,1,1,1
0.63,99.235,1,1,1,1,1,1,1,1,1,1
0.67,99.215,1,1,1,1,1,1,1,1,0,0
0.65,99.205,0,1,1,1,1,1,1,1,1,1
0.71,99.175,1,1,1,1,1,1,0,0,0,0
0.63,99.135,1,1,1,1,1,1,1,1,1,1
0.62,99.06,1,1,1,1,1,1,1,1,1,1
0.63,99.115,1,1,1,1,1,1,1,1,1,1
0.62,99.04,1,1,1,1,1,1,1,1,1,1
0.62,98.96,0,0,1,1,1,1,1,1,1,1
0.62,98.96,1,1,1,1,1,1,1,1,1,1
99.27,49.635,1,1,1,1,1,0,0,0,0,0
0.68,98.83,1,1,1,1,1,1,1,0,0,0
0.62,98.8,1,1,1,1,1,1,1,1,1,1
-98.49,49.245,0,0,0,0,0,1,1,1,1,1
0.64,98.89,1,1,1,1,1,1,1,1,1,0
0.64,98.87,1,1,1,1,1,1,1,1,1,0
0.62,98.86,1,1,1,1,1,1,1,1,1,1
0.62,98.78,1,1,1,1,1,1,1,1,1,1
0.62,98.82,1,1,1,1,1,1,1,1,1,1
0.64,98.81,1,1,1,1,1,1,1,1,1,0
0.68,98.77,1,1,1,1,1,1,1,0,0,0
0.7,98.7,1,1,1,1,1,1,0,0,0,0
0.63,98.665,1,1,1,1,1,1,1,1,1,1
0.62,98.65,1,1,1,1,1,1,1,1,1,1
0.63,98.745,0,1,1,1,1,1,1,1,1,1
0.66,98.76,0,0,1,1,1,1,1,1,1,1
0.68,98.75,1,1,1,1,1,1,1,0,0,0
0.65,98.715,1,1,1,1,1,1,1,1,1,0
0.63,98.705,1,1,1,1,1,1,1,1,1,1
0.62,98.67,1,1,1,1,1,1,1,1,1,1
