,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_4,bid_3,bid_2,bid_1,ask_1,ask_2,ask_3,ask_4,ask_5
60,0.8640678445230456,5.9551130107138306e-05,0.11018717288970947,-1.0,21.000000000000995,11.999999999991928,0.06466431095406361,100.055,2500.0,0.0353356890459364,566.0,999749929.0,0.03,51.0,119.0,115.0,41.0,148.0,6.0,6.0,7.0,20.0,53.0
61,-0.19651442052147183,4.999999873689376e-06,-0.6299692392349243,-0.3268885612487793,2.0127426070280023,59.99999999997385,0.08817567567567568,100.085,1200.0,0.011824324324324325,592.0,999659854.0,0.07,119.0,115.0,41.0,70.0,3.0,3.0,53.0,13.0,55.0,120.0
62,1.1138107872532088,1.0501412361918483e-05,-0.906739354133606,-1.0,32.050970428103,68.99999999995572,0.09806576402321084,100.09,1100.0,0.0019342359767891683,517.0,999729949.0,0.08,1.0,115.0,41.0,70.0,2.0,24.0,13.0,55.0,120.0,76.0
63,0.15008059028134246,9.999999747378752e-05,-0.9595378041267395,0.08001112937927246,4.609167580583005,2.0000000000095497,0.09846390168970814,100.12,400.0,0.0015360983102918587,651.0,999930118.08,0.04,1.0,115.0,118.0,70.0,51.0,12.0,99.0,76.0,77.0,32.0
64,-0.07362885906038058,4.999999873689376e-06,-1.0,0.014100193977355957,0.0,5.999999999994543,0.09865771812080537,100.145,400.0,0.0013422818791946308,745.0,999930118.08,0.07,115.0,118.0,70.0,51.0,5.0,64.0,76.0,77.0,32.0,137.0
65,-0.13018166939440773,7.039566844468936e-05,-0.32664555311203003,-0.36045002937316895,0.0,19.99999999999318,0.09836333878887071,100.12,400.0,0.0016366612111292963,611.0,999930118.08,0.02,115.0,118.0,70.0,51.0,5.0,3.0,64.0,76.0,77.0,32.0
66,-0.08968166939442154,9.999999747378752e-05,1.0,-1.0,0.0,9.99999999999659,0.09836333878887071,100.12,400.0,0.0016366612111292963,611.0,999930118.08,0.02,115.0,118.0,70.0,51.0,5.0,3.0,64.0,76.0,77.0,32.0
67,-0.09072847317742865,3.8725534977857023e-05,-1.0,0.9240849018096924,0.0,15.999999999996817,0.05185694635488309,100.16,400.0,0.048143053645116916,727.0,999759968.08,0.04,115.0,118.0,70.0,24.0,14.0,64.0,76.0,77.0,32.0,137.0
68,1.1857540252182437,3.0595416319556534e-05,0.710174560546875,1.0,30.031856517567007,35.99999999999568,0.03975903614457832,100.11,-1000.0,0.060240963855421686,581.0,999649805.08,0.02,115.0,118.0,70.0,10.0,31.0,7.0,64.0,76.0,77.0,13.0
69,-0.4698266384779848,6.39630961813964e-05,-1.0,-0.7004284858703613,-9.521212121215996,10.000000000002274,0.0017441860465116227,100.14,-1200.0,0.10174418604651163,344.0,999679869.04,0.0,31.0,10.0,31.0,3.0,4.0,2.0,15.0,158.0,77.0,13.0
70,-0.1321075803981278,8.449031884083524e-05,0.28255438804626465,-0.8526563048362732,0.0,24.999999999991473,0.061715160796324664,100.12,-1600.0,0.03828483920367534,653.0,999699828.04,0.04,128.0,108.0,70.0,31.0,15.0,38.0,15.0,158.0,77.0,13.0
71,-0.3573464549482143,6.982789636822417e-05,0.7123595476150513,-0.03130936622619629,0.0,82.99999999997851,0.04239290989660267,100.175,-1600.0,0.05760709010339734,677.0,999629772.04,0.03,108.0,70.0,31.0,15.0,18.0,158.0,77.0,13.0,140.0,47.0
72,-0.20056108231017014,9.999999747378752e-05,0.10821366310119629,1.0,7.478787878811005,127.99999999998022,0.037413073713490966,100.135,-200.0,0.06258692628650904,719.0,999809925.0,0.01,9.0,128.0,108.0,94.0,22.0,8.0,120.0,77.0,13.0,140.0
73,-1.8862514194224418,9.999999747378752e-05,1.0,0.4634246826171875,-35.59001782530001,64.99999999999773,0.04290123456790124,100.185,-700.0,0.05709876543209876,648.0,999759865.82,0.01,94.0,7.0,22.0,43.0,39.0,159.0,77.0,23.0,137.0,47.0
74,-0.7701147788652457,7.09509986336343e-05,0.38058626651763916,0.7524187564849854,-14.375946314350017,25.000000000005684,0.0438943894389439,100.185,-1000.0,0.056105610561056105,606.0,999729790.06,0.01,94.0,7.0,32.0,43.0,29.0,110.0,84.0,23.0,137.0,47.0
75,-0.02194719471947195,4.999999873689376e-06,0.7878098487854004,-0.7592750191688538,0.0,0.0,0.0438943894389439,100.185,-1000.0,0.056105610561056105,606.0,999729790.06,0.01,94.0,7.0,32.0,43.0,29.0,110.0,84.0,23.0,137.0,47.0
76,-0.008724202626641656,4.844927025260404e-05,0.1295684576034546,0.30373620986938477,0.0,0.0,0.01744840525328331,100.185,-1000.0,0.0825515947467167,533.0,999679700.06,0.01,11.0,7.0,32.0,43.0,34.0,115.0,84.0,23.0,137.0,47.0
77,-0.3828189583809075,6.564855721080676e-05,-1.0,-0.46776705980300903,-7.437929056510001,8.49999999999227,0.027374301675977653,100.18,-500.0,0.07262569832402235,537.0,999779865.18,0.02,11.0,7.0,32.0,50.0,31.0,115.0,84.0,23.0,137.0,47.0
78,0.055382974334730876,9.999999747378752e-05,0.7431483268737793,0.15750646591186523,1.9008628931230191,5.999999999987438,0.011711711711711717,100.175,500.0,0.08828828828828829,555.0,999779869.0,0.01,7.0,69.0,32.0,13.0,9.0,3.0,115.0,94.0,76.0,137.0
79,0.213003342246104,4.576930223265663e-05,0.6073222160339355,-0.6190207004547119,5.000000000002984,2.5000000000048317,0.0037433155080214,100.18,0.0,0.0962566844919786,561.0,999779879.0,0.02,7.0,69.0,32.0,18.0,9.0,72.0,94.0,76.0,137.0,47.0
80,-8.210180623973579e-05,7.314424874493852e-05,-0.33872705698013306,1.0,0.0,0.0,0.00016420361247947157,100.175,700.0,0.10016420361247948,609.0,999709746.0,0.03,7.0,69.0,48.0,32.0,74.0,65.0,94.0,7.0,76.0,137.0
81,-0.9686842105263604,8.127574255922809e-05,-0.7904955148696899,-0.583745539188385,-21.000000000000995,0.0,0.04736842105263159,100.175,-100.0,0.05263157894736842,570.0,999859908.0,0.03,69.0,48.0,22.0,8.0,66.0,60.0,87.0,7.0,66.0,137.0
82,-0.010249543080943863,6.45156387690804e-06,1.0,-0.25423675775527954,0.0,0.5000000000009663,0.0164490861618799,100.18,-100.0,0.0835509138381201,383.0,999849894.0,0.02,22.0,1.0,8.0,66.0,12.0,29.0,88.0,7.0,13.0,137.0
83,-0.01372741935484654,7.900573837105185e-05,0.8031191825866699,0.5109877586364746,0.0,1.0000000000019327,0.019354838709677427,100.175,1200.0,0.08064516129032258,434.0,999789790.0,0.03,48.0,22.0,1.0,8.0,53.0,78.0,88.0,15.0,13.0,108.0
84,-0.10160595238093696,4.999999873689376e-06,1.0,0.8108681440353394,0.0,24.49999999999619,0.004761904761904773,100.155,1300.0,0.09523809523809523,357.0,999789790.0,0.01,44.0,69.0,48.0,1.0,7.0,24.0,28.0,15.0,13.0,108.0
85,-0.06243286713247383,8.678052836330608e-05,-0.866145133972168,1.0,6.136363636371016,75.99999999998488,0.06153846153846154,100.195,0.0,0.038461538461538464,546.0,999659537.0,0.03,69.0,48.0,1.0,7.0,72.0,13.0,13.0,108.0,144.0,71.0
86,-0.24013216374264817,4.999999873689376e-06,-0.5507848262786865,-0.33804482221603394,0.0,51.999999999989654,0.059064327485380125,100.195,0.0,0.04093567251461988,513.0,999659537.0,0.03,69.0,48.0,1.0,7.0,39.0,13.0,13.0,108.0,144.0,71.0
87,0.8189854784165618,3.7535901356022805e-05,1.0,0.030193805694580078,18.727272727272975,0.0,0.04748358862144421,100.195,-500.0,0.0525164113785558,457.0,999569364.0,0.03,53.0,1.0,7.0,4.0,39.0,13.0,13.0,112.0,144.0,71.0
88,-0.06545454545463499,9.999999747378752e-05,-0.3607313632965088,1.0,-1.0000000000019895,0.0,0.040909090909090916,100.195,-300.0,0.05909090909090909,440.0,999749718.0,0.03,1.0,7.0,93.0,4.0,39.0,60.0,31.0,78.0,71.0,56.0
89,0.12860237642585737,1.842031633714214e-05,0.708179235458374,0.5691647529602051,3.0,0.49999999999954525,0.008745247148288976,100.19,300.0,0.09125475285171103,263.0,999769762.0,0.02,1.0,7.0,71.0,3.0,7.0,3.0,60.0,31.0,2.0,78.0
90,-0.02213940886698771,1.050114406098146e-05,1.0,0.39692604541778564,0.0,1.999999999998181,0.028078817733990152,100.195,300.0,0.12807881773399016,203.0,999759744.0,0.03,1.0,7.0,71.0,3.0,8.0,1.0,1.0,31.0,2.0,78.0
